"dataset","source","Year","has_dtp3","n"
"CUR","GBD",2019,FALSE,5
"HEAD","GBD",2019,FALSE,5
"CUR","GBD",2019,TRUE,181
"HEAD","GBD",2019,TRUE,181
"CUR","GBD",2021,FALSE,5
"HEAD","GBD",2021,FALSE,5
"CUR","GBD",2021,TRUE,181
"HEAD","GBD",2021,TRUE,181
"CUR","WHO",2019,FALSE,13
"HEAD","WHO",2019,FALSE,13
"CUR","WHO",2019,TRUE,154
"HEAD","WHO",2019,TRUE,154
"CUR","WHO",2021,FALSE,11
"HEAD","WHO",2021,FALSE,11
"CUR","WHO",2021,TRUE,148
"HEAD","WHO",2021,TRUE,148
"CUR","WHO",2024,FALSE,17
"HEAD","WHO",2024,FALSE,17
"CUR","WHO",2024,TRUE,161
"HEAD","WHO",2024,TRUE,161
