"source","Year","level","CUR","HEAD","diff_CUR_minus_HEAD"
"GBD",2019,"[1.0,1.5)m",59,59,0
"GBD",2019,"[1.5,2.5)m",106,106,0
"GBD",2019,"[2.5,3.0]m",16,16,0
"GBD",2021,"[1.0,1.5)m",59,59,0
"GBD",2021,"[1.5,2.5)m",106,106,0
"GBD",2021,"[2.5,3.0]m",16,16,0
"WHO",2019,"[1.0,1.5)m",44,44,0
"WHO",2019,"[1.5,2.5)m",94,94,0
"WHO",2019,"[2.5,3.0]m",16,16,0
"WHO",2021,"[1.0,1.5)m",41,41,0
"WHO",2021,"[1.5,2.5)m",92,92,0
"WHO",2021,"[2.5,3.0]m",15,15,0
"WHO",2024,"[1.0,1.5)m",46,46,0
"WHO",2024,"[1.5,2.5)m",99,99,0
"WHO",2024,"[2.5,3.0]m",16,16,0
